景点id,景点名称,景点区域,景点级别,景点热度,景点简介,景点经纬度,景点地址
249012337,日本环球影城,大阪府·大阪,,热度 1.0,首座不位于美国本土的环球影城,"135.432326,34.665511",日本大阪环球影城
3174613401,东京迪士尼乐园,东京,,热度 0.0,充满各种动漫主题元素的乐园,"139.884012,35.625118","日本东京都千叶县浦安市舞滨;1-1 Maihama, Urayasu, Chiba Prefecture"
380777865,登富士山,东京·富士山,,热度 0.0,攀登日本富士山,"138.7102681,35.3605537",日本  富士山  
2653469091,东京塔,东京,,热度 1.0,夜间亮灯无比梦幻，360度展望东京全城,"139.745484,35.65857",亚洲-日本-东京
3677541296,三鹰之森吉卜力美术馆,东京·三鹰市,,热度 0.0,动漫大师宫崎骏的美术殿堂,"139.570424,35.69626","东京都三鹰市下连雀1丁目1-83（都立井之头恩赐公园西园内）;1 Chome-1-83 Shimorenjaku, Mitaka, Tokyo"
1338832387,东京地铁乘车券,东京,,热度 0.0,无论去哪儿都可以利用本票券轻松抵达,"139.7776499,35.5493975",日本东京
2828598027,日本Suica卡,东京,,热度 0.0,一个多功能的卡，兼有电子钱包的功能,"139.7776499,35.5493975",日本东京
1571606213,古宇利大桥,冲绳县·冲绳,,热度 0.0,在桥上欣赏各种美景,"128.0149477,26.6861672",日本沖縄県国頭郡今帰仁村字古宇利
2087450706,海贼王主题乐园,东京,,热度 0.0,喜欢海贼王的朋友一定不能错过的主题乐园,"139.8085117,35.7100627",日本东京都港区芝公园4丁目2-8
5967739,天空之树,东京,,热度 0.0,鸟瞰东京壮丽景色,"104.1644469,33.1524303",日本东京都墨田区
3051049691,大阪海游馆,大阪府·大阪,,热度 0.0,有着环太平洋不同地域的生态环境,"135.428925,34.654488",大阪府大阪市港区海岸通1－1－10
2824409809,山中湖,东京·富士山,,热度 0.0,感受自然的神奇奥妙,"138.86092,35.410645",日本  富士山  
1076633892,六本木新城,东京,,热度 0.0,东京城市展望，城市景观尽收眼底,"139.729248,35.659496",东京都港区六本木6-10-1
319198921,冲绳美丽海水族馆,冲绳县·冲绳,,热度 0.0,体验浩翰的海洋世界之美,"127.8757433,26.694158",冲绳国头郡本部町字石川424番地(海洋博公园内)
3231219984,哈利波特乐园,大阪府·大阪,,热度 0.0,魔法世界的大门顿时出现眼前,"135.4301495,34.665442",大阪市此花区桜島2丁目1-33
2236967667,吉隆坡塔,吉隆坡,,热度 0.0,俯瞰市景的绝佳地点,"101.7015546,3.1528442",MenaraKualaLumpurNo.2JalanPunchakOffJalanP.Ramlee50250KualaLumpurMalaysia
2237862672,双威水上乐园,吉隆坡,,热度 0.0,大人的忘忧天地，孩子们的童话世界,"101.6026493,3.0692108","Sunway Lagoon Sdn Bhd (211311-A) 3, Jalan PJS 11/11, Bandar Sunway, 47500 Selangor Darul Ehsan, Malaysia"
1538154407,马来西亚乐高乐园,柔佛,,热度 0.0,享受美好的亲子时光,"103.627716,1.58183",马来西亚柔佛
3580826153,玩转沙巴,沙巴·亚庇,,热度 0.0,天造地设的大自然景物宝库,"115.0597902,5.7352467","L1-38, Star City North Complex, 1st Floor, Jalan Asia City, 88000 Kota Kinabalu, Sabah, Malaysia."
2643588824,吉隆坡水族馆,吉隆坡,,热度 0.0,在“触摸池”内近距离接触海星和竹鲨,"101.713203,3.153811","Concourse Level, Kuala Lumpur Convention Centre"
1058535162,仙本那小镇,仙本那,,热度 0.0,一座漂浮在水上的天堂,"118.6,4.45",
4213175694,沙巴亚庇美人鱼岛,沙巴,,热度 0.0,让海风温柔的抚摸您的皮肤和吹乱您的秀发,"116.05268967793,5.981300512680999",马来西亚沙巴古打毛律镇(Kota Belud)外海
3271713635,仙本那群岛公园,仙本那,,热度 0.0,关于仙本那潛水虎度假村从沙巴东海岸仙本那镇离度假村只需10分钟车程，离仙本那海军基地50米。提供的住宿选择包括小木屋，长,"118.7555081,4.6239509",马来西亚  仙本那  
2654156644,皇家山,吉隆坡,,热度 0.0,雪兰莪苏丹的王城,"101.248658,3.34095","45000 Kuala Selangor, Selangor，malaysia"
3782848123,沙巴仙本那Scuba Tiger,沙巴,,热度 0.0,关于仙本那潛水虎度假村从沙巴东海岸仙本那镇离度假村只需10分钟车程，离仙本那海军基地50米。提供的住宿选择包括小木屋，长,"118.6333093,4.452911",马来西亚沙巴仙本那
3073485498,Kawa红树林,山打根省·山打根,,热度 0.0,马来西亚沙巴山打根,"117.7655669,5.7834645",马来西亚沙巴山打根
1391622156,马布岛,仙本那,,热度 0.0,海底摄影师梦寐以求的天堂,"118.631094,4.247128","Sabah, Malaysia"
3907512398,升旗山,槟城,,热度 0.0,以一眼望尽山脚下的槟城市区,"100.264478,5.4333333","PerbadananBukitBendera,AyerItam,11500PulauPinang"
1186328617,孕妇岛,吉打州·兰卡威,,热度 0.0,一个湖水青绿，适合泛舟游泳的淡水湖,"99.784874,6.206115",亚洲-马来西亚
377311281,神山公园,沙巴,,热度 0.0,令人称叹的植物生态的会合地,"116.621943,6.174492",亚洲-马来西亚
249012337,日本环球影城,大阪府·大阪,,热度 1.0,首座不位于美国本土的环球影城,"135.432326,34.665511",日本大阪环球影城
3174613401,东京迪士尼乐园,东京,,热度 0.0,充满各种动漫主题元素的乐园,"139.884012,35.625118","日本东京都千叶县浦安市舞滨;1-1 Maihama, Urayasu, Chiba Prefecture"
380777865,登富士山,东京·富士山,,热度 0.0,攀登日本富士山,"138.7102681,35.3605537",日本  富士山  
2653469091,东京塔,东京,,热度 1.0,夜间亮灯无比梦幻，360度展望东京全城,"139.745484,35.65857",亚洲-日本-东京
3677541296,三鹰之森吉卜力美术馆,东京·三鹰市,,热度 0.0,动漫大师宫崎骏的美术殿堂,"139.570424,35.69626","东京都三鹰市下连雀1丁目1-83（都立井之头恩赐公园西园内）;1 Chome-1-83 Shimorenjaku, Mitaka, Tokyo"
1338832387,东京地铁乘车券,东京,,热度 0.0,无论去哪儿都可以利用本票券轻松抵达,"139.7776499,35.5493975",日本东京
2828598027,日本Suica卡,东京,,热度 0.0,一个多功能的卡，兼有电子钱包的功能,"139.7776499,35.5493975",日本东京
1571606213,古宇利大桥,冲绳县·冲绳,,热度 0.0,在桥上欣赏各种美景,"128.0149477,26.6861672",日本沖縄県国頭郡今帰仁村字古宇利
2087450706,海贼王主题乐园,东京,,热度 0.0,喜欢海贼王的朋友一定不能错过的主题乐园,"139.8085117,35.7100627",日本东京都港区芝公园4丁目2-8
5967739,天空之树,东京,,热度 0.0,鸟瞰东京壮丽景色,"104.1644469,33.1524303",日本东京都墨田区
3051049691,大阪海游馆,大阪府·大阪,,热度 0.0,有着环太平洋不同地域的生态环境,"135.428925,34.654488",大阪府大阪市港区海岸通1－1－10
2824409809,山中湖,东京·富士山,,热度 0.0,感受自然的神奇奥妙,"138.86092,35.410645",日本  富士山  
1076633892,六本木新城,东京,,热度 0.0,东京城市展望，城市景观尽收眼底,"139.729248,35.659496",东京都港区六本木6-10-1
319198921,冲绳美丽海水族馆,冲绳县·冲绳,,热度 0.0,体验浩翰的海洋世界之美,"127.8757433,26.694158",冲绳国头郡本部町字石川424番地(海洋博公园内)
3231219984,哈利波特乐园,大阪府·大阪,,热度 0.0,魔法世界的大门顿时出现眼前,"135.4301495,34.665442",大阪市此花区桜島2丁目1-33
3861596608,七仙井,吉打州·兰卡威,,热度 0.0,七仙井是兰卡威岛上著名的地理奇观,"99.6835243,6.3659946","Telaga Harbour Park, Langkawi, Kedah"
3982926133,水上清真寺,沙巴,,热度 0.0,一座典型的当代伊斯兰教建筑,"116.14386,6.096884",马来西亚沙巴哥达京那巴鲁市卡士湾畔
3964048837,槟城蝴蝶园,槟城,,热度 0.0,世界上最早规划的热带蝴蝶公园,"100.484708,5.262691",亚洲-马来西亚-槟城
1678728043,马来西亚高等法院,吉隆坡,,热度 0.0,是吉隆坡的标志性建筑。1897年建成，曾经是殖民者的总部。当初设计这幢大楼的两名设计师都曾在印度呆过一段时日，他们把大楼,"101.694483,3.148668",亚洲-马来西亚-吉隆坡
1278796450,马六甲海峡,马六甲,,热度 0.0,风光秀丽，被誉为“东方明珠”,"99.541881,4.666075",亚洲-马来西亚
2195373255,云顶,吉隆坡,,热度 0.0,你旅游和避暑胜地,"101.789134,3.422044",位于鼓亨州西南吉保山脉中段东坡
3692862479,丹绒鲁海滩,吉打州·兰卡威,,热度 0.0,美丽的沙滩和清澈的海水，还有成林的松树,"116.042065,5.95611",亚洲-马来西亚-兰卡威
905884568,蝴蝶园,吉隆坡,,热度 0.0,神奇的蝴蝶世界,"101.688906,3.145733","Taman Tasik Perdana, Jalan Cendarasari, Kuala Lumpur, Wilayah Persekutuan 50480"
2346881806,Menara Kuala Lumpur Tower,吉隆坡,,热度 0.0,吉隆坡塔是无线通讯业的一个里程碑,"101.703667,3.152806","Jalan Punchak, Kuala Lumpur 50250, Malaysia"
3677782529,槟城马里安曼印度庙,槟城,,热度 0.0,槟岛早建立的印度神庙,"100.3150234,5.4260245","Lebuh Queen, George Town, 10450 George Town, Pulau Pinang, 马来西亚"
366008398,国家英雄纪念碑,吉隆坡,,热度 0.0,为纪念为国牺牲的烈士而建,"101.6816063,3.1493527",JalanParlimenLakeGardens
2881843103,巴哥国家公园,古晋,,热度 0.0,欣赏大量的野生动物,"110.464478,1.7166667",马来西亚  古晋  
1059101809,兰卡威跳岛游,吉打州·兰卡威,,热度 0.0,游览各种小岛,"99.7239063,6.291905",马来西亚  兰卡威  
341913619,九鲁河,沙巴,,热度 0.0,水势汹涌，相当湍急,"116.3000303,5.9753412","Kiulu River, Kampung Pukak Kiulu, Tuaran"
1464209816,迪加岛,沙巴,,热度 0.0,历史悠久的旅游胜地,"115.6336074,5.7218782",马来西亚沙巴迪加岛
4075356930,东京迪士尼海洋乐园,东京,,热度 0.0,激光与焰火交织辉映，水上舞台表演高潮迭起,"139.885029,35.626849",日本东京千叶县舞滨地区的东京湾畔
2483373142,八景岛海洋乐园,神奈川县·横滨,,热度 0.0,八景岛海洋乐园是一座具备各种游乐设施的人工岛”、以海洋为主题的14种常设节目以及游乐项目外，在园内还可品尝世界各地的风味,"139.644402,35.336403",日本横滨金泽区八景岛
4009228356,大阪周游卡,大阪府·大阪,,热度 0.0,给你超值的旅游体验,"135.4665124,34.6107052",大阪府>大阪
612573490,世界牧场,大阪府·大阪,,热度 0.0,关西大的休闲牧场,"135.6402505,34.4813033",〒585-0014白木1456-2
3962037742,大江户温泉物语,东京,,热度 0.0,体验江户时代老百姓的生活,"139.777702,35.615284",东京都江东区青海2-57（Telecom Center西侧）
2561305626,Hep Five摩天轮,大阪府·大阪,,热度 0.0,眺望大阪的市中心部,"135.4981074,34.7040619","日本UmedaStation,（大阪）〒530-0017大阪市北区角田町5-15"
1392202456,仲见世商店街,东京,,热度 0.0,布满了百余家店铺，非常热闹,"139.7945175,35.7124817",东京都台区浅草
2028115505,名古屋水族馆,爱知县·名古屋,,热度 0.0,世界超大型水族館之一,"136.8759524,35.0906222",日本爱知县名古屋市港区港町1-3
478037105,阿倍野展望台,大阪府·大阪,,热度 0.0,大阪的新地标阿倍野HARUKAS,"135.5117827,34.645842",大阪市阿倍野区阿倍野筋1-1-43
2043399465,河口湖八音盒之森美术馆,山梨县·山梨县,,热度 0.0,仿佛让人以为是回到中古世纪的欧洲,"138.7664483,35.522526","3077-20 Kawaguchi, Fujikawaguchiko, Minamitsuru District, Yamanashi Prefecture 401-0304日本"
3626551978,日本关西铁路周游券,东京,,热度 0.0,日本关西自由行，有它解决出行难,"135.2282052,34.4320024",京都、大阪、神户、奈良、姬路等地通用
2216831434,梅田蓝天大厦,大阪府·大阪,,热度 0.0,鸟瞰大阪全城、欣赏夕阳夜景,"135.4901,34.70542",大阪市北区大淀中1-1-88 (〒531-6039　大阪市北区大淀中1-1-88 梅田スカイビル)
2084092505,温泉大世界,大阪府·大阪,,热度 0.0,是一座内容丰富的温泉主题公园,"135.5056,34.649956",日本大阪市 556-0002浪速区惠美须东3丁目4-24
2025426648,日本乐高乐园,爱知县·名古屋,,热度 0.0,新开设的乐高乐园，小朋友的玩乐天堂,"136.8414079,35.0507051","日本〒455-8605 Aichi Prefecture, Nagoya, Minato Ward, Kinjofuto, 2 Chome−2−1"
4137129527,万座毛,冲绳县·冲绳,,热度 0.0,可以欣赏海天一色，俯视悬崖峭壁下的珊瑚礁,"127.850221,26.504913",亚洲-日本-冲绳
2390489278,光大大厦,槟城,,热度 0.0,位于马来西亚槟城州首府乔治市,"100.2634245,5.4470936","Lebuh Tek Soon, George Town, 10100 George Town, Pulau Pinang, 马来西亚"
34357515,马努干岛,沙巴·亚庇,,热度 0.0,理想的游泳和潜水区,"116.068314,5.975931","Kota Kinabalu, Malaysia"
4273872600,卡帕莱岛,仙本那,,热度 0.0,卡帕莱岛是坐落在西巴丹岛和马布岛之间的一块沙洲。经历过严重的侵蚀，这块沙洲现在变成了躺卧在利吉丹珊瑚群顶端的海滩，广泛舒,"118.684308,4.223211",坐落在西巴丹岛和马布岛之间的一块沙洲
3964976004,湿米岛,吉打州·兰卡威,,热度 0.0,天然的度假胜地,"99.6995976,6.2914835",Langkawi Kedah Malaysia
2348584314,章卡武吉免登酒吧街,吉隆坡,,热度 0.0,充满异国风情的酒吧街。,"101.708493,3.147202","Changkat Bukit Bintang, 50200 Kuala Lumpur."
3267517356,茨厂街,吉隆坡,,热度 0.0,唐人街著名的街市,"101.697182,3.143692","City Centre 50000 Kuala Lumpur Wilayah Persekutuan Kuala Lumpur, 马来西亚"
3203446801,乐圣岭天后宫,吉隆坡,,热度 0.0,吉隆坡的主要地标建筑与旅游景点,"101.6855313,3.12181","65, Persiaran Endah, Taman Persiaran Desa, 50460 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
1946107066,沙巴邦邦岛,沙巴,,热度 0.0,海天相接的潜水天堂,"0.0,0.0",马来西亚沙巴仙本那邦邦岛
1050834619,吉隆坡城市馆,吉隆坡,,热度 0.0,主要介绍吉隆坡的城市概况及历史,"101.6910463,3.147227","No. 27, Jalan Raja, Dataran Merdeka,, 50050 Dataran Merdeka, Federal Territory of Kuala Lumpur, 马来西亚"
252151695,Dark Mansion - 3D Glow In The Dark Museum,马来西亚,,热度 0.0,这家在槟城的乔治旧城里，坐落在夜市美食街上，不太起眼，要不是看到一家印度人坐人力车停在门口，都没有注意到这家场馆，店里游,"0.0,0.0","Malaysia,George Town,145-153, Kimberly Street,10100"
3241496560,槟城极乐寺,槟城,,热度 0.0,槟州的一大建筑奇景,"100.273443,5.39986","Kek Lok Si Temple ,11500 Ayer Itam, Penang"
3541592645,国家皇宫,吉隆坡,,热度 1.0,其内青草遍地，鲜花满园盛开,"101.695723,3.132484",马来西亚吉隆坡
3807808247,东姑阿都拉曼国家公园,沙巴,,热度 0.0,椰林树影，水清沙幼,"101.758351,3.210583",亚洲-马来西亚
1681877363,瓜拉甘达大象中心,吉隆坡,,热度 0.0,近距离接触大象,"101.712363,3.141018",马来西亚吉隆坡联邦直辖区吉隆坡
2218840695,拉卜湾长鼻猴保护区,山打根省·山打根,,热度 0.0,和稀有的长鼻猴亲密接触,"117.8658063,5.8848287",马来西亚沙巴山打根拉卜湾Sumawang村
969497599,浅草寺,东京,,热度 1.0,日本现存的具有“江户风格”的民众游乐之地,"139.796746,35.714777",亚洲-日本
3283136646,三十三间堂,京都府·京都,,热度 1.0,为莲华王院的正殿，日本国宝,"135.771681,34.987872",亚洲-日本-京都
993487176,登别温泉,登别,,热度 0.0,泉水非常丰富，温度适宜，给你不一样的体验,"141.144061,42.502449",亚洲-日本-Sapporo
1612919872,金阁寺,京都府·京都,,热度 1.0,日本室町时代极具代表性的名园,"135.729313,35.039436",亚洲-日本-京都
1381254624,天龙寺,京都府·京都,,热度 1.0,国家特别的历史遗迹,"135.673723,35.015765",亚洲-日本-京都
2519878793,二条城,京都府·京都,,热度 1.0,保存了日本桃山时代的绘画雕刻和建筑特色,"135.750897,35.01325",亚洲-日本-京都
2979139094,福冈塔,福冈县·福冈,,热度 0.0,福冈市的标志性建筑,"130.351483,33.593299",亚洲-日本福冈市早良区百道滨2-3-26
1431586742,新宿御苑,东京,,热度 1.0,信川高远藩主内藤骏河守的住宅,"139.710673,35.687036",亚洲-日本-东京
1860981045,机器人美眉表演秀,东京,,热度 0.0,东京热门新娱乐，超出你的想象,"139.702832,35.694668",日本东京都新宿区歌舞伎町1-7-1
1632592141,大阪地铁交通卡,大阪府·大阪,,热度 0.0,适用大阪市内地铁和市营巴士（公交车）,"135.2094627,34.5212738",日本大阪市
527100549,日本铁路周游券JR PASS,东京,,热度 0.0,无需研究交通工具，放心乘坐JR标志的车辆,"139.7776499,35.5493975",日本东京市
45112144,原子弹爆炸圆顶屋,广岛,,热度 0.0,原子弹爆炸后遗址,"132.4536,34.39548",日本  广岛  
4188881711,札幌啤酒园,札幌,,热度 0.0,在宽敞的大厅内自助畅饮，大口吃肉,"141.35437,43.062096",札幌市北区北13西3
4226862108,箱根园水族馆,神奈川县·神奈川县,,热度 0.0,箱根园水族馆位于海拔723米处,"139.0065142,35.2129666","日本神奈川县AshigarashimoDistrict,箱根町"
4009884168,大阪历史博物馆,大阪府·大阪,,热度 0.0,紧挨着大阪NHK放送局的大阪历史博物馆是栋13层的近代建筑，距离难波宫迹和大阪城公园也不远。根据时代的不同，分区展示了不,"135.50217,34.693737",大阪市中央区大手前4-1-32
934805730,沙巴婆罗洲大堡礁,沙巴,,热度 0.0,览东南亚水上休闲浮桥,"109.554296,1.4249588",马来西亚亚庇沙巴婆罗洲大堡礁
983208729,兰卡威群岛,吉打州·兰卡威,,热度 0.0,兰卡威群岛(Langkawi)由99座海岛组成，它位于吉打的岸外，非常靠近玻璃市，并且居于泰国之下不远的地方，它并以丰富,"0.0,0.0","Jalan Tanjung Rhu, Tanjung Rhu, 07000 Langkawi"
1408830984,托马斯小镇,柔佛,,热度 0.0,托马斯小镇主题乐园,"103.6558216,1.4170337","Persiaran Puteri Selatan, Puteri Harbour, Nusajaya, 79000, Negeri Sembilan, 79000 Nusajaya, Johor, 马来西亚"
4103417157,实蒙谷野生动物护育中心,古晋,,热度 0.0,整个中心就在雨林当中,"110.3163806,1.3959167",Semenggoh Wildlife centre，Sarawak，Malaysia
2304704102,沙巴龙尾湾,沙巴·亚庇,,热度 0.0,沙巴近几年新开发的景点,"116.1565462,6.1664093","89200 Tuaran, Sabah, Malaysia"
3703566293,亚庇玩乐,沙巴·亚庇,,热度 0.0,体验风下之乡的浪漫,"116.0255847,5.9956764","L1-38, Star City North Complex, 1st Floor, Jalan Asia City, 88000 Kota Kinabalu, Sabah, Malaysia."
3860280511,粉红清真寺,布城,,热度 0.0,马来西亚布城的一所清真寺，位于布城湖旁,"101.6832459,2.9260041","Persiaran Persekutuan, Presint 1, 62502 Putrajaya, Wilayah Persekutuan Putrajaya, 马来西亚"
2080626722,沙沙兰天空之境,马六甲,,热度 0.0,海天一色的美景,"101.2442022,3.2994496","No 15, 3, Jalan Yu 1, Taman Yu, 45800 Jeram, Selangor, 马来西亚"
3778331423,金三角购物商圈,吉隆坡,,热度 0.0,吉隆坡热闹好逛的购物区域,"101.7109185,3.148482",马来西亚吉隆坡金三角购物商圈
2405617538,诗巴丹岛,仙本那,,热度 0.0,诗巴丹（Sipadan）坐落于东马来西亚西南，位于距离仙本那港（Semporna Port）36公里的北西里伯海（Cel,"118.612001,4.479691",位于Sulawesi海（西勒比斯海）赤道以北5°
662220233,宝山亭,马六甲,,热度 0.0,由第八任甲必丹漳州海澄人蔡士章创建,"102.257365,2.198581",马六甲三保山的西南山麓
432244415,沙捞越文化村,古晋,,热度 0.0,东南亚异族风情表演，品不一样的民风民情,"110.316142,1.749773","Damai Beach Resort, 93762 Kuching, 马来西亚"
3961447386,猫博物馆,古晋,,热度 0.0,展出猫的相片、图画、故事、饰物及雕塑等,"110.3322886,1.5866373","JalanDbku,Kuching"
2713894451,卡帕莱浮潜,沙巴,,热度 0.0,即使在水屋附近浮潜也可以看到丰富的海底生物。各色的鱼类、珊瑚、海星、海龟一应俱全，你就是在一个五彩的世界中遨游。,"0.0,0.0",马来西亚  沙巴  
2816069644,吉隆坡双子塔,吉隆坡,,热度 0.0,吉隆坡的地标性建筑,"101.7075007,3.157917","PETRONASTwinTowers,KualaLumpurCityCentre,50088KualaLumpur,Malaysia"
2519942416,白色恋人公园,北海道,,热度 0.0,了解巧克力的历史，欣赏与巧克力有关的藏品,"121.38878,31.205807",札幌市西区宫の沢2-2-11-36
2072767620,江之岛,神奈川县·神奈川县,,热度 0.0,湘南海岸的代表景点，神奈历史名迹,"139.48088,35.299927",日本  神奈川县  
180571780,横滨地标塔大厦,神奈川县·神奈川县,,热度 0.0,横滨地标塔大厦是日本高的超高层大厦,"139.6314175,35.4548879","2-2-1Minatomirai,NishiWard,Yokohama,KanagawaPrefecture220-8120,Japan"
810030732,四竹琉球料理餐厅（国际通店）,冲绳县·冲绳,,热度 0.0,欣赏传统的琉球舞蹈表演，体验琉球当地文化,"127.6815499,26.2149134",冲绳县那霸市久茂地3-29-68
201255794,鸭川,京都府·京都,,热度 0.0,流穿过京都中央，景色优美,"135.75629,35.013245","KamoRiver,京都市京都府日本"
2304677653,河口湖,东京·富士山,,热度 0.0,湖中富士山倒影相映为一绝景,"138.75179,35.517094",日本东京富士山北麓
3395855881,阿美横町商店街,东京,,热度 0.0,各色商铺，任君挑选,"139.7723475,35.7103209",东京都台东区上野4－6
2768705917,代代木公园,东京,,热度 0.0,东京涩谷区内的城市公园,"139.6965203,35.66884853",日本 東京都渋谷区 代々木神園町2−1
